library,version,container
Babel,1.3,<pip>
CherryPy,10.1.1,<pip>
CommonMark,0.7.3,<pip>
Faker,0.7.18,<pip>
Flask,0.11.1,<pip>
Flask-Admin,1.4.1,<pip>
Flask-Bcrypt,0.7.1,<pip>
Flask-Cache,0.13.1,<pip>
Flask-HTTPAuth,3.2.2,<pip>
Flask-Login,0.2.11,<pip>
Flask-RESTful,0.3.5,<pip>
Flask-WTF,0.12,<pip>
Fuzzy,1.0.post0,<pip>
GitPython,2.1.1,<pip>
JPype1,0.6.2,<pip>
JayDeBeApi,1.1.1,<pip>
Jinja2,2.8.1,<pip>
Mako,1.0.6,<pip>
Markdown,2.6.8,<pip>
MarkupSafe,1.0,<pip>
Paste,2.0.3,<pip>
PyDictionary,1.5.2,<pip>
PyHive,0.3.0,<pip>
SFrame,2.1,<pip>
Sphinx-PyPI-upload,0.2.1,<pip>
Unidecode,0.04.20,<pip>
WTForms,2.1,<pip>
airflow,1.8.0b1+apache.incubating,<pip>
alabaster,0.7.9,py27_0
alembic,0.8.10,<pip>
amqp,2.1.4,<pip>
anaconda,custom,py27_0
anaconda-clean,1.0.0,py27_0
anaconda-client,1.6.0,py27_0
anaconda-navigator,1.5.0,py27_0
anaconda-project,0.4.1,py27_0
aniso8601,1.2.0,<pip>
app,0.0.1,<pip>
argcomplete,1.0.0,py27_1
argparse,1.4.0,<pip>
astroid,1.4.9,py27_0
astropy,2.0.1,np112py27_0
awscli,1.6.2,<pip>
babel,2.3.4,py27_0
backports,1.0,py27_0
backports_abc,0.5,py27_0
bcdoc,0.12.2,<pip>
bcrypt,3.1.3,<pip>
beautifulsoup4,4.5.3,py27_0
billiard,3.5.0.2,<pip>
bitarray,0.8.1,py27_0
blaze,0.10.1,py27_0
bokeh,0.12.4,py27_0
bokeh,0.12.5,<pip>
boto,2.33.0,<pip>
boto,2.45.0,py27_0
boto3,1.4.4,<pip>
botocore,1.5.65,<pip>
bottleneck,1.2.1,np112py27_0
bz2file,0.98,<pip>
cairo,1.14.8,0
cdecimal,2.3,py27_2
celery,4.0.2,<pip>
certifi,2017.4.17,<pip>
cffi,1.9.1,py27_0
cgroupspy,0.1.5,<pip>
chardet,2.3.0,py27_0
chartkick,0.4.2,<pip>
cheroot,5.2.0,<pip>
chest,0.2.3,py27_0
click,6.7,py27_0
cloudpickle,0.2.2,py27_0
clyent,1.2.2,py27_0
colorama,0.2.5,<pip>
colorama,0.3.7,py27_0
conda,4.3.23,py27_0
conda-build,2.0.2,py27_0
conda-env,2.6.0,0
conda-manager,0.4.0,py_0
configobj,5.0.6,py27_0
configparser,3.5.0,py27_0
contextlib2,0.5.4,py27_0
cookies,2.2.1,<pip>
croniter,0.3.14,<pip>
cryptography,1.7.1,py27_0
curl,7.52.1,0
cx_oracle,5.1.2,py27_0
cycler,0.10.0,py27_0
cython,0.25.2,py27_0
cytoolz,0.8.2,py27_0
dask,0.13.0,py27_0
datashape,0.5.4,py27_0
dbus,1.10.10,0
decorator,4.0.11,py27_0
decorator,4.0.9,<pip>
defusedxml,0.5.0,<pip>
dicttoxml,1.7.4,<pip>
dill,0.2.5,py27_0
docopt,0.6.2,<pip>
docutils,0.13.1,py27_0
dynd-python,0.7.2,py27_0
elasticsearch,5.3.0,py27_0
entrypoints,0.2.2,py27_0
enum34,1.1.6,py27_0
et_xmlfile,1.0.1,py27_0
expat,2.1.0,0
fastavro,0.9.6,<pip>
fastcache,1.0.2,py27_1
filechunkio,1.8,<pip>
filelock,2.0.6,py27_0
findspark,1.1.0,py27_0
flask,0.12,py27_0
flask-cors,3.0.2,py27_0
flask-swagger,0.2.13,<pip>
flower,0.9.1,<pip>
fontconfig,2.12.1,2
freetype,2.5.5,2
freezegun,0.3.9,<pip>
funcsigs,1.0.0,<pip>
funcsigs,1.0.2,py27_0
functools32,3.2.3.2,py27_0
future,0.15.2,<pip>
futures,3.0.5,py27_0
futures,3.1.1,<pip>
fuzzywuzzy,0.15.0,<pip>
gensim,0.13.4.1,<pip>
get_terminal_size,1.0.0,py27_0
gevent,1.2.1,py27_0
gitdb2,2.0.0,<pip>
glib,2.50.2,1
goslate,1.5.1,<pip>
greenlet,0.4.11,py27_0
grin,1.2.1,py27_3
gst-plugins-base,1.8.0,0
gstreamer,1.8.0,0
gunicorn,19.3.0,<pip>
h2o,3.10.4.8,<pip>
h5py,2.7.0,np112py27_0
happybase,1.0.0,<pip>
harfbuzz,0.9.39,2
hdf5,1.8.17,1
hdfs,2.0.16,<pip>
heapdict,1.0.0,py27_1
hive-thrift-py,0.0.1,<pip>
icu,54.1,0
idna,2.2,py27_0
imagesize,0.7.1,py27_0
impyla,0.14.0,<pip>
ipaddress,1.0.18,py27_0
ipdb,0.10.2,<pip>
ipykernel,4.5.2,py27_0
ipython,5.1.0,py27_0
ipython_genutils,0.1.0,py27_0
ipywidgets,5.2.2,py27_1
isort,4.2.5,py27_0
itsdangerous,0.24,py27_0
jbig,2.1,0
jdcal,1.3,py27_0
jedi,0.9.0,py27_1
jellyfish,0.5.6,<pip>
jinja2,2.9.4,py27_0
jira,1.0.10,<pip>
jmespath,0.9.3,<pip>
joblib,0.11,<pip>
joblib,0.9.4,py27_0
jpeg,9b,0
jsonschema,2.5.1,py27_0
jupyter,1.0.0,py27_3
jupyter_client,4.4.0,py27_0
jupyter_console,5.0.0,py27_0
jupyter_core,4.2.1,py27_0
jupyterlab,0.19.0,py27_0
jupyterlab,0.7.0,<pip>
kerberos,1.2.5,<pip>
kmodes,0.7,<pip>
kombu,4.0.2,<pip>
lazy-object-proxy,1.2.2,py27_0
libdynd,0.7.2,0
libffi,3.2.1,1
libgcc,4.8.5,2
libgfortran,3.0.0,1
libiconv,1.14,0
libpng,1.6.27,0
libsodium,1.0.10,0
libtiff,4.0.6,3
libxcb,1.12,1
libxgboost,0.60,hdfa14d8_0
libxml2,2.9.4,0
libxslt,1.1.29,0
lightgbm,2.0.6,<pip>
llvmlite,0.19.0,py27_0
locket,0.2.0,py27_1
lockfile,0.12.2,<pip>
lxml,3.7.2,py27_0
markupsafe,0.23,py27_2
matplotlib,2.0.2,np112py27_0
